product_id,brand,category_code,matched_keywords,relevance_score,match_quality
1001588,meizu,construction.tools.light,"['tools', 'construction', 'light']",3,High Match
1001618,apple,construction.tools.light,"['light', 'construction', 'tools']",3,High Match
1001619,apple,construction.tools.light,"['tools', 'construction', 'light']",3,High Match
1002098,samsung,construction.tools.light,"['tools', 'construction', 'light']",3,High Match
1002100,samsung,construction.tools.light,"['light', 'construction', 'tools']",3,High Match
1002101,samsung,construction.tools.light,"['tools', 'construction', 'light']",3,High Match
1002367,meizu,construction.tools.light,"['light', 'construction', 'tools']",3,High Match
1002482,meizu,construction.tools.light,"['tools', 'construction', 'light']",3,High Match
1002484,meizu,construction.tools.light,"['tools', 'construction', 'light']",3,High Match
1002524,apple,construction.tools.light,"['tools', 'construction', 'light']",3,High Match
1002525,apple,construction.tools.light,"['light', 'construction', 'tools']",3,High Match
1002527,apple,construction.tools.light,"['light', 'construction', 'tools']",3,High Match
1002528,apple,construction.tools.light,"['light', 'construction', 'tools']",3,High Match
1002531,apple,construction.tools.light,"['light', 'construction', 'tools']",3,High Match
1002532,apple,construction.tools.light,"['light', 'construction', 'tools']",3,High Match
1002535,apple,construction.tools.light,"['tools', 'construction', 'light']",3,High Match
1002538,apple,construction.tools.light,"['tools', 'construction', 'light']",3,High Match
1002540,apple,construction.tools.light,"['tools', 'construction', 'light']",3,High Match
1002542,apple,construction.tools.light,"['tools', 'construction', 'light']",3,High Match
1002544,apple,construction.tools.light,"['tools', 'construction', 'light']",3,High Match
