campaign_id,campaign_type,channel,message_recipients,purchases,conversion_rate
18212,trigger,multichannel,53254,525,0.99
29,transactional,email,19904,397,1.99
27,transactional,email,24734,383,1.55
150,bulk,email,163158,368,0.23
32,transactional,email,23205,365,1.57
18010,trigger,multichannel,30700,272,0.89
18011,trigger,multichannel,43239,220,0.51
361,bulk,email,17117,128,0.75
18012,trigger,multichannel,97691,98,0.1
18223,trigger,multichannel,10450,88,0.84
221,transactional,email,45263,73,0.16
289,bulk,email,17199,70,0.41
152,bulk,email,74110,58,0.08
26,transactional,email,4726,55,1.16
179,transactional,email,18680,42,0.22
297,bulk,email,38116,29,0.08
18016,trigger,multichannel,73008,25,0.03
230,bulk,email,125295,23,0.02
143,bulk,email,70121,22,0.03
19017,trigger,multichannel,14888,22,0.15
